"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/03","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","2440000","2025/05/04 15:30:11"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/04 15:30:11"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/04","51200","51200","51200","51200","51200","51200","51200","51600","51200","51600","51600","50800","48000","39600","33600","31600","31200","30800","31200","30800","30400","30800","30400","30800","30800","30400","30800","30400","30800","30800","30400","33200","39200","45600","49600","50400","51600","51600","51200","51600","51600","51600","51600","51200","51200","50800","51200","50800","2062800","2025/05/05 15:30:10"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/04","39000","40000","40000","39000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","40000","40000","40000","40000","39000","40000","39000","40000","39000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","39000","40000","1906000","2025/05/05 15:30:10"
"42136","中部","四日市霞発電所","単独","その他","2025/05/04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/05 15:30:10"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/04","93039","92921","92435","91940","92266","92316","93493","92567","93338","92964","92598","92280","93436","92479","92694","92355","84044","75446","72139","71813","71675","72715","72913","72426","72357","72299","71380","70466","70763","73093","79830","86615","88342","90452","90325","89739","90761","90322","90580","91604","91286","91132","91208","90690","90406","90039","92286","90073","4122340","2025/05/05 15:30:10"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/05 15:30:10"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/04","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","2441000","2025/05/05 15:30:10"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/05 15:30:10"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/05","51600","51200","51200","51200","51600","51200","51600","51200","51600","51600","50800","47600","38800","33600","32400","32000","32000","32000","31600","31600","31600","32000","31600","31600","31600","31600","31600","31600","31200","31200","31200","31200","33600","38400","44000","46800","48000","50800","51600","51200","51200","51600","51200","51200","51200","50800","51600","51200","2028800","2025/05/06 15:30:04"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/05","40000","40000","39000","40000","39000","40000","40000","39000","39000","40000","39000","40000","40000","39000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","40000","39000","39000","40000","1897000","2025/05/06 15:30:04"
"42136","中部","四日市霞発電所","単独","その他","2025/05/05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/06 15:30:04"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/05","91074","91375","88555","89103","89903","91550","92202","92575","92060","92051","91519","91469","92235","92286","88040","82037","75265","71353","70968","71077","72504","72586","73247","72921","72628","72610","71485","71307","72017","74236","82179","88829","90977","92180","92570","92121","92422","91974","92857","92497","92003","91866","91601","91458","91568","92178","92590","92066","4106174","2025/05/06 15:30:04"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/06 15:30:04"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/05","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","2440000","2025/05/06 15:30:04"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/06 15:30:04"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/06","51200","51200","51200","51200","51200","51200","51200","51200","51200","51600","51600","51200","51200","50800","51200","50800","50800","50800","51200","50800","51200","51200","50800","51200","51200","51200","51600","50800","51200","51200","51200","51200","51200","51600","51200","51600","51200","51600","51600","51200","51600","51200","51600","51200","51600","51200","51600","51600","2459600","2025/05/07 15:30:06"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/06","40000","39000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","40000","39000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","40000","40000","40000","40000","40000","40000","40000","40000","39000","40000","40000","40000","40000","40000","40000","40000","40000","40000","1904000","2025/05/07 15:30:06"
"42136","中部","四日市霞発電所","単独","その他","2025/05/06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/07 15:30:06"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/06","92019","91642","91822","91159","90919","90278","90609","89989","89487","92462","90126","88681","88254","84860","88789","91272","91062","90944","89904","88214","85840","85681","89947","90569","90171","90247","88856","87276","87552","90040","89687","89700","89732","89874","89650","88645","87432","87285","90654","89598","89272","88750","88677","88061","88305","88738","87991","88783","4289505","2025/05/07 15:30:06"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/07 15:30:06"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/06","51000","50000","51000","51000","51000","51000","51000","50000","52000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","2440000","2025/05/07 15:30:06"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/07 15:30:06"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/07","51200","51600","51200","51600","51200","51600","51600","51200","51600","51200","51600","51200","51600","51600","51200","51600","50800","51200","51200","50800","51200","51200","50800","51200","51200","51200","51200","51200","51200","51200","51200","51600","51200","51600","51600","51200","51600","51600","51200","51600","51200","51200","51200","51200","51600","51200","51600","51200","2463200","2025/05/08 15:30:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/07","40000","40000","40000","40000","40000","40000","39000","40000","40000","40000","39000","40000","40000","40000","39000","40000","39000","40000","39000","40000","39000","39000","40000","39000","39000","40000","39000","40000","40000","39000","39000","40000","39000","40000","40000","39000","39000","40000","39000","40000","40000","39000","39000","40000","39000","40000","39000","40000","1900000","2025/05/08 15:30:03"
"42136","中部","四日市霞発電所","単独","その他","2025/05/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/08 15:30:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/07","88372","88384","87910","87611","87191","88188","88510","88486","88051","88003","88200","87945","88747","88225","88443","90366","89468","87241","86895","87435","87535","88753","88975","89318","89049","88514","87700","88823","89945","88821","89569","89068","89479","88574","89129","88566","88645","88975","89609","89429","88592","87847","87981","89642","90027","90442","90401","90466","4257545","2025/05/08 15:30:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/08 15:30:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/07","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","51000","51000","50000","51000","51000","51000","51000","53000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","2486000","2025/05/08 15:30:03"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/08 15:30:03"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/08","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51200","49200","45200","38400","34000","33200","32800","33200","32400","32800","32800","32400","32800","32800","32800","32400","32800","32400","32800","34800","42400","45200","46800","49200","49600","49600","50400","50400","50400","50800","50400","50400","50800","50400","50400","50400","51200","51200","2116400","2025/05/09 15:30:10"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/08","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","39000","40000","40000","40000","40000","39000","39000","40000","39000","40000","37000","37000","37000","38000","37000","38000","38000","38000","38000","38000","38000","39000","38000","38000","38000","39000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","1853000","2025/05/09 15:30:10"
"42136","中部","四日市霞発電所","単独","その他","2025/05/08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/09 15:30:10"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/08","90249","90819","90028","89147","89160","89905","89855","89630","89853","90074","89854","89269","90334","90087","89974","90245","88554","89335","90046","90743","92142","93029","92774","93064","92357","91334","91741","92182","92210","91666","91139","92160","91603","92164","91537","90580","90172","90133","89951","90623","91063","88723","89025","88931","89397","88645","83265","85217","4333988","2025/05/09 15:30:10"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","394","7216","7459","7302","7793","7907","7630","7727","7762","7797","7884","7987","7971","7761","7945","8006","8014","8389","132944","2025/05/09 15:30:10"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/08","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","2602000","2025/05/09 15:30:10"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/09 15:30:10"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/09","51200","51200","51200","51200","51200","51200","51600","51200","51600","51600","51600","51200","45600","37600","33600","32400","32000","31600","31600","31600","31200","31200","31600","31200","31200","31600","31200","31200","32400","39600","47200","48800","49200","49600","49200","50000","51200","51200","51600","51600","51600","51200","51600","51200","51200","51200","50800","50800","2123600","2025/05/10 15:30:07"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/09","38000","38000","38000","38000","38000","38000","38000","39000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","38000","41000","42000","42000","41000","42000","41000","42000","41000","42000","41000","42000","41000","42000","41000","42000","41000","41000","41000","41000","40000","41000","40000","41000","40000","41000","40000","41000","1910000","2025/05/10 15:30:07"
"42136","中部","四日市霞発電所","単独","その他","2025/05/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/10 15:30:07"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/09","89611","88393","87850","88134","87749","89305","89981","89199","89386","89137","89079","88783","89745","89147","89281","89467","89853","87921","86739","87507","89081","89804","85474","85804","87482","88683","87930","88186","89067","89348","87068","88623","87850","88001","88638","86822","86923","87009","87248","88542","87942","88748","89162","89696","90593","90671","91246","91276","4253184","2025/05/10 15:30:07"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/09","8478","8288","8230","7980","7716","7740","7813","7833","7824","7777","7780","7765","7475","7588","7447","7495","7302","7217","7115","6896","6864","6600","6465","6425","6335","6583","6836","6745","6752","7025","5823","5606","5740","6342","6675","6905","6741","6589","6413","6443","6502","6457","6225","5836","6243","6726","7160","7144","335959","2025/05/10 15:30:07"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/09","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","59000","66000","66000","65000","61000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","2647000","2025/05/10 15:30:07"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/10 15:30:07"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/10","51200","50800","50800","51200","50800","51200","50800","51200","51600","51200","51600","51200","51600","51200","51600","51200","51200","51600","51200","51200","51200","50800","46800","38000","32800","32400","32000","31600","32800","38800","46800","50000","50800","51600","51200","51200","51200","51200","51600","51200","51600","51200","51200","51200","51600","51200","51600","51200","2329200","2025/05/11 15:30:05"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/10","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","41000","40000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","40000","41000","1944000","2025/05/11 15:30:05"
"42136","中部","四日市霞発電所","単独","その他","2025/05/10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/11 15:30:05"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/10","91238","90974","90823","89737","89225","90163","90658","90652","90264","90186","89775","82375","86126","89480","89919","91171","90680","90602","89608","89470","89974","90856","91763","91628","91429","91421","90269","90469","91153","90887","91301","91167","90896","91065","90301","90410","89548","90546","90634","91347","89697","89917","90226","90844","90827","89572","90612","91226","4333111","2025/05/11 15:30:05"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/10","6808","7281","7442","7505","7356","7392","7407","7339","7294","7187","7039","6879","7074","7158","8147","8424","8449","8018","7703","6775","6355","6094","5942","5776","5593","5446","5201","5354","5924","5994","6029","5545","4679","6077","8060","7979","6575","8154","8078","9666","10084","9980","9218","9012","9018","9155","9324","9151","352140","2025/05/11 15:30:05"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/10","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","2601000","2025/05/11 15:30:05"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/11 15:30:05"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/11","51200","51600","51200","51600","51200","51200","51600","51200","51200","50800","48400","44000","36400","33200","32800","32400","32400","32000","32000","32000","32000","32000","32000","32000","32000","31600","32000","31600","31600","31600","33600","40400","46000","50800","51600","51600","51200","51600","51200","51600","51600","51200","51200","51200","50800","51200","50800","50800","2075200","2025/05/12 15:30:05"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/11","40000","41000","40000","41000","40000","41000","40000","41000","41000","41000","40000","41000","40000","41000","41000","41000","40000","41000","40000","41000","41000","41000","41000","40000","40000","41000","40000","40000","40000","40000","40000","41000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","41000","40000","40000","40000","40000","1938000","2025/05/12 15:30:05"
"42136","中部","四日市霞発電所","単独","その他","2025/05/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/12 15:30:05"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/11","91032","90817","90505","90406","89527","91781","91356","91445","90948","91274","91658","91346","91005","91771","91884","92469","92183","92073","91125","90287","91349","91555","92776","91686","91411","91473","90568","90607","92137","92119","91723","91495","91599","91345","91546","90554","90805","92376","91843","91412","91596","91359","91295","91032","91207","90342","91172","90721","4383995","2025/05/12 15:30:05"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/11","9052","9207","9297","9270","9130","9060","9160","9070","9179","9219","9772","9993","10069","10282","10311","10271","10027","9650","9716","10204","10400","10568","10557","10681","11051","11114","11017","11168","11841","12293","11892","11168","10377","10442","10495","10828","10733","10722","10732","10718","10742","10751","10746","10750","10737","10747","10741","10747","496697","2025/05/12 15:30:05"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/11","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","55000","54000","54000","54000","54000","55000","54000","54000","54000","54000","54000","2600000","2025/05/12 15:30:05"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/12 15:30:05"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/12","51200","50800","50800","51200","50800","51600","50800","51600","51200","51200","51200","51600","51200","51600","51600","51200","51600","51200","51200","51600","51200","51600","51200","51200","51600","51200","51600","51200","51600","51200","51200","51600","51200","51600","51200","51600","51200","51200","51600","51600","51200","51600","51200","51600","51600","51200","51600","51600","2464400","2025/05/13 15:30:05"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/12","40000","40000","40000","41000","40000","41000","40000","40000","40000","41000","40000","41000","40000","41000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","41000","40000","41000","40000","40000","40000","40000","40000","41000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","1928000","2025/05/13 15:30:05"
"42136","中部","四日市霞発電所","単独","その他","2025/05/12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/13 15:30:05"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/12","89071","90736","93159","88607","88758","89055","91283","91755","90924","91388","91044","91058","91000","91575","91510","91416","90905","90980","90208","90298","88760","88722","88255","88727","88582","88919","88809","87603","88319","88884","88879","88079","87688","89019","88780","88725","85300","87681","88944","88317","85474","88541","89890","89535","89529","90646","90739","90310","4296386","2025/05/13 15:30:05"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/12","10744","10747","10751","10747","10747","10742","10742","10750","10723","10736","10753","10737","10746","10737","10739","10737","10735","10745","10751","10730","10758","10780","10764","10697","10718","10764","10770","10742","11254","11512","11529","11516","12424","13096","12371","12376","11937","11695","12045","12558","12856","12803","12971","12968","12962","12960","12960","12958","548583","2025/05/13 15:30:05"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/12","56000","58000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","58000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","58000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","58000","2825000","2025/05/13 15:30:05"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/13 15:30:05"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/13","51200","51600","51600","51200","51600","51200","51600","51600","51200","51600","51600","50800","48000","38000","33200","32000","31600","31600","31200","31200","31200","31200","31200","31200","30800","31200","31200","30800","31200","30800","33200","38400","42800","46400","47600","48400","50000","50800","51200","50800","51200","50800","51200","50800","50400","50400","50800","51200","2070800","2025/05/14 15:31:03"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/13","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","39000","40000","39000","40000","39000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","1917000","2025/05/14 15:31:03"
"42136","中部","四日市霞発電所","単独","その他","2025/05/13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/14 15:31:03"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/13","90128","91080","89819","89154","89496","89443","91679","90443","90657","90717","90620","90387","90949","91089","90551","91055","90605","90915","89056","87192","88396","88545","89203","90339","91041","88144","88061","88704","89806","89910","89826","89561","89171","89764","89505","88649","89585","90126","90101","88180","87665","90245","90757","90496","91294","90906","90394","90385","4313794","2025/05/14 15:31:03"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/05/13","12967","12960","12968","12981","12959","12968","12956","12955","12989","12990","13001","12987","12991","12985","12973","12983","12965","12958","12306","10110","9216","9462","9070","9136","9104","9268","9551","9445","10285","9642","10192","10786","10725","10483","10624","10612","10876","11135","11195","11286","11188","11168","10860","10655","10317","10450","10709","10709","544101","2025/05/14 15:31:03"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/05/13","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","58000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","58000","59000","59000","59000","59000","59000","59000","59000","59000","59000","59000","2830000","2025/05/14 15:31:03"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/05/13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/14 15:31:03"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/05/14","51200","51200","50800","51600","51200","51200","51600","51200","51600","51200","51600","51200","51600","48800","41200","33600","31600","31200","31200","31200","30800","30800","31200","30800","31200","30800","31200","33200","38800","43200","47200","48400","50400","50800","50800","50800","50400","50800","51200","51600","51200","51200","51600","51600","51200","51600","51200","51600","2161600","2025/05/15 15:30:11"
"4009330482","東京","鹿島発電所","単独","その他","2025/05/14","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","40000","39000","40000","40000","40000","40000","40000","40000","41000","40000","41000","40000","41000","40000","41000","41000","40000","41000","40000","40000","41000","40000","41000","40000","41000","40000","41000","41000","40000","40000","41000","41000","40000","40000","41000","1933000","2025/05/15 15:30:11"
"42136","中部","四日市霞発電所","単独","その他","2025/05/14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/05/15 15:30:11"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/05/14","90569","90579","90321","89852","89903","91003","90872","90606","90319","90705","90136","90184","90963","90720","90379","90348","92356","90137","88529","86771","87241","88154","87690","89385","89094","89407","88036","86180","88280","89858","88741","89520","89998","88722","88533","89183","89487","90427","90198","89854","89656","89501","89141","89394","90088","89974","89634","89444","4300072","2025/05/15 15:30:11"
