"発電所コード","エリア","発電所名","ユニット名","発電方式・燃種","対象日","00:30[kWh]","01:00[kWh]","01:30[kWh]","02:00[kWh]","02:30[kWh]","03:00[kWh]","03:30[kWh]","04:00[kWh]","04:30[kWh]","05:00[kWh]","05:30[kWh]","06:00[kWh]","06:30[kWh]","07:00[kWh]","07:30[kWh]","08:00[kWh]","08:30[kWh]","09:00[kWh]","09:30[kWh]","10:00[kWh]","10:30[kWh]","11:00[kWh]","11:30[kWh]","12:00[kWh]","12:30[kWh]","13:00[kWh]","13:30[kWh]","14:00[kWh]","14:30[kWh]","15:00[kWh]","15:30[kWh]","16:00[kWh]","16:30[kWh]","17:00[kWh]","17:30[kWh]","18:00[kWh]","18:30[kWh]","19:00[kWh]","19:30[kWh]","20:00[kWh]","20:30[kWh]","21:00[kWh]","21:30[kWh]","22:00[kWh]","22:30[kWh]","23:00[kWh]","23:30[kWh]","24:00[kWh]","日量[kWh]","更新日時"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/03","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51600","51200","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","51200","51600","51600","51200","51200","51200","51600","51200","51200","51600","51200","2472400","2025/01/04 15:30:07"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/03","36000","37000","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","1773000","2025/01/04 15:30:07"
"42136","中部","四日市霞発電所","単独","その他","2025/01/03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/04 15:30:07"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/03","71951","72337","71007","68424","68228","68395","71446","71470","71326","70752","69411","68128","70485","71725","71658","71579","71076","70890","68680","67258","67557","68545","71716","71551","71861","71206","68743","67359","69639","71318","71358","71274","71129","70757","68798","67631","67475","68136","70814","71034","71052","71119","69584","67659","67201","67506","68308","70830","3357386","2025/01/04 15:30:07"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/03","10262","10087","10258","10017","9755","9752","10094","10333","10142","9991","10139","9645","9245","9761","10111","9484","9231","10551","10815","10992","9175","10348","11335","10869","10896","11671","11904","11973","11395","10788","10821","10817","10964","9535","9878","9776","9640","9274","9599","9469","9475","9304","8981","8168","8322","8519","8960","8383","480904","2025/01/04 15:30:07"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/03","47000","46000","46000","47000","47000","47000","48000","48000","48000","47000","48000","49000","48000","48000","48000","48000","49000","48000","48000","48000","48000","48000","47000","48000","47000","47000","48000","46000","47000","48000","47000","49000","48000","49000","50000","48000","48000","49000","48000","48000","47000","48000","47000","47000","47000","47000","47000","47000","2288000","2025/01/04 15:30:07"
"40099930AA","九州","大分 第２発電所","単独","その他","2025/01/03","10000","10000","10000","11000","10000","10000","10000","11000","10000","10000","10000","11000","10000","10000","10000","10000","10000","10000","10000","10000","11000","10000","10000","11000","11000","10000","11000","10000","10000","11000","11000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","10000","489000","2025/01/04 15:30:07"
"2S319","東北","福島いわきバイオマス発電所","1","その他","2025/01/04","51200","51200","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","51600","51600","51200","51600","51600","51600","51600","51200","51600","51600","51600","51200","51600","51600","51600","51600","51200","51600","51200","51200","51600","51600","51200","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","51600","2472800","2025/01/05 15:30:05"
"4009330482","東京","鹿島発電所","単独","その他","2025/01/04","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","37000","36000","37000","37000","37000","37000","37000","37000","37000","36000","37000","36000","37000","36000","37000","36000","37000","36000","37000","37000","37000","37000","37000","36000","37000","37000","37000","36000","37000","1768000","2025/01/05 15:30:05"
"42136","中部","四日市霞発電所","単独","その他","2025/01/04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2025/01/05 15:30:05"
"6837V","関西","相生バイオマス発電所","単独","その他","2025/01/04","71384","71158","69779","67891","67171","67324","70017","70987","71142","70728","69367","67491","69730","70854","70808","70994","70893","71131","68979","67225","67647","68232","71074","71612","71317","71057","68974","67289","70875","71239","71491","71131","70667","69859","67912","67046","66908","68169","71049","71250","71221","71164","69470","67239","66074","66646","68097","68088","3337850","2025/01/05 15:30:05"
"400977C645","中国","水島製油所　B工場","G8","その他","2025/01/04","7921","7984","8678","8910","8871","8444","8460","9045","9305","8932","8557","8302","8396","8568","8311","8044","7956","8419","7126","7410","8706","9639","9699","9009","9059","9096","9259","9583","10343","6596","6500","3259","2660","2552","2678","2987","3409","3310","3139","3278","3247","3430","3062","2777","2950","2723","2601","2289","315479","2025/01/05 15:30:05"
"4009774203","中国","麻里布 第２発電所","Ｇ６","その他","2025/01/04","46000","47000","46000","46000","46000","47000","46000","46000","47000","46000","46000","46000","48000","48000","47000","48000","48000","47000","47000","47000","47000","47000","47000","48000","47000","48000","48000","47000","46000","48000","48000","48000","48000","48000","47000","49000","47000","48000","47000","47000","48000","48000","47000","48000","47000","47000","47000","48000","2265000","2025/01/05 15:30:05"
